"id","title","title_en","title_ja","icon","parent_id","sort_order","created_at","updated_at","path","name","component","keep_alive","redirect"
"31","举报处理","Report Handling","通報対応","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M12 3l10 18H2L12 3z""/><path d=""M12 9v4""/><path d=""M12 17h.01""/></svg>","3","1","7/1/2026 19:53:00","13/1/2026 01:34:01","reports","ReportHandling","views/community/reports/index.vue","0",
"32","评论管控","Comment Moderation","コメント管理","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M21 15a2 2 0 0 1-2 2H7l-4 4V5a2 2 0 0 1 2-2h14a2 2 0 0 1 2 2z""/></svg>","3","2","7/1/2026 19:53:00","13/1/2026 01:34:01","comments","CommentModeration","views/community/comments/index.vue","0",
"33","弹幕列表","Danmaku Moderation","弾幕管理","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M12 3a9 9 0 0 0-9 9c0 2.4 1 4.6 2.7 6.2L5 21l3.1-1.1A9 9 0 1 0 12 3z""/></svg>","3","3","7/1/2026 19:53:00","13/1/2026 01:34:01","danmaku","DanmakuModeration","views/community/danmaku/index.vue","0",
"34","动态管理","Activity Management","アクティビティ管理","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M13 2L3 14h7l-1 8 10-12h-7z""/></svg>","3","4","7/1/2026 19:53:00","13/1/2026 01:34:01","activities","ActivityManagement","views/community/activities/index.vue","0",
"41","轮播图管理","Banner Management","バナー管理","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><rect x=""3"" y=""5"" width=""18"" height=""14"" rx=""2""/><circle cx=""8"" cy=""10"" r=""2""/><path d=""M21 16l-5-5-4 4-2-2-5 5""/></svg>","4","1","7/1/2026 19:53:00","13/1/2026 01:34:01","banners","BannerManagement","views/marketing/banners/index.vue","0",
"42","全站通知","Site-wide Notifications","全体通知","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M18 8a6 6 0 0 0-12 0c0 7-3 7-3 7h18s-3 0-3-7""/><path d=""M13.5 21a1.5 1.5 0 0 1-3 0""/></svg>","4","2","7/1/2026 19:53:00","13/1/2026 01:34:01","notifications","SiteNotifications","views/marketing/notifications/index.vue","0",
"51","封禁管理","Ban Management","凍結管理","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><circle cx=""12"" cy=""12"" r=""9""/><path d=""M6 6l12 12""/></svg>","5","2","7/1/2026 19:53:00","13/1/2026 01:34:02","bans","BanManagement","views/users/bans/index.vue","0",
"52","封禁记录","Ban Records","凍結記録","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M3 12a9 9 0 1 0 3-6""/><polyline points=""3 5 3 12 10 12""/><path d=""M12 7v5l3 3""/></svg>","5","3","7/1/2026 19:53:00","13/1/2026 01:34:02","ban-records","BanRecords","views/users/ban-records/index.vue","0",
"61","角色管理","Role Management","ロール管理","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><rect x=""3"" y=""4"" width=""18"" height=""16"" rx=""2""/><circle cx=""9"" cy=""10"" r=""2""/><path d=""M7 16c1-2 4-2 5 0""/><path d=""M14 8h4""/><path d=""M14 12h4""/></svg>","6","1","7/1/2026 19:53:00","13/1/2026 01:34:02","roles","RoleManagement","views/system/roles/index.vue","0",
"62","菜单权限","Menu Permissions","メニュー権限","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><line x1=""4"" y1=""6"" x2=""20"" y2=""6""/><line x1=""4"" y1=""12"" x2=""20"" y2=""12""/><line x1=""4"" y1=""18"" x2=""20"" y2=""18""/></svg>","6","2","7/1/2026 19:53:00","13/1/2026 01:34:02","menus","MenuPermissions","views/system/menus/index.vue","0",
"63","接口资源","API Resources","APIリソース","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><polyline points=""8 6 3 12 8 18""/><polyline points=""16 6 21 12 16 18""/></svg>","6","3","7/1/2026 19:53:00","13/1/2026 01:34:02","apis","ApiResources","views/system/apis/index.vue","0",
"74","用户列表","User List","ユーザー一覧","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><circle cx=""12"" cy=""8"" r=""4""/><path d=""M4 20c2-4 6-6 8-6s6 2 8 6""/></svg>","5","1","10/1/2026 00:14:11","13/1/2026 01:34:01","list","UserList","views/users/list/index.vue","0",
"94","系统配置","System Configuration","システム設定","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M4 6h10""/><circle cx=""17"" cy=""6"" r=""2""/><path d=""M4 12h6""/><circle cx=""13"" cy=""12"" r=""2""/><path d=""M4 18h14""/><circle cx=""7"" cy=""18"" r=""2""/></svg>","0","7","14/1/2026 21:30:51","14/1/2026 21:30:51","/system-config","SiteConfig","views/system/site-config/index.vue","0","/system-config/site"
"95","基础配置","Basic Settings","基本設定","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M3 10l9-7 9 7v9a2 2 0 0 1-2 2h-4v-6H9v6H5a2 2 0 0 1-2-2z""/></svg>","94","1","14/1/2026 21:57:56","14/1/2026 21:57:56","site","SiteConfigSite","views/system/site-config/index.vue","0",
"96","日志配置","Logger Settings","ログ設定","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><rect x=""4"" y=""3"" width=""16"" height=""18"" rx=""2""/><line x1=""8"" y1=""9"" x2=""16"" y2=""9""/><line x1=""8"" y1=""13"" x2=""16"" y2=""13""/><line x1=""8"" y1=""17"" x2=""12"" y2=""17""/></svg>","94","2","14/1/2026 21:57:56","14/1/2026 21:57:56","logger","SiteConfigLogger","views/system/site-config/index.vue","0",
"97","邮件配置","Email Settings","メール設定","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M4 4h16a2 2 0 0 1 2 2v12a2 2 0 0 1-2 2H4a2 2 0 0 1-2-2V6a2 2 0 0 1 2-2z""/><polyline points=""22 6 12 13 2 6""/></svg>","94","3","14/1/2026 21:57:56","14/1/2026 21:57:56","email","SiteConfigEmail","views/system/site-config/index.vue","0",
"98","转码配置","Transcode Settings","トランスコード設定","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><polyline points=""23 4 23 10 17 10""/><path d=""M20.5 13a8 8 0 1 1 2.1-7""/><polyline points=""1 20 1 14 7 14""/><path d=""M3.5 11a8 8 0 1 1-2.1 7""/></svg>","94","4","14/1/2026 21:57:56","14/1/2026 21:57:56","transcode","SiteConfigTranscode","views/system/site-config/index.vue","0",
"99","第三方登录","Login Settings","ログイン設定","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><circle cx=""7"" cy=""12"" r=""3""/><path d=""M10 12h11l-2 2 2 2-2 2""/></svg>","94","5","14/1/2026 21:57:56","14/1/2026 21:57:56","thirdLogin","SiteConfigThirdLogin","views/system/site-config/index.vue","0",
"100","JWT配置","JWT Settings","JWT設定","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><rect x=""5"" y=""10"" width=""14"" height=""10"" rx=""2""/><path d=""M8 10V7a4 4 0 0 1 8 0v3""/></svg>","94","6","14/1/2026 21:57:56","14/1/2026 21:57:56","jwt","SiteConfigJwt","views/system/site-config/index.vue","0",
